input,weight,output,scenario,iteration
hydrogen_hgv,12537.67522,hgv_mileage,2050_high_demand,Run_2_1_
hydrogen,91190.5461,hydrogen_refueller,2050_high_demand,Run_2_1_
hydrogen_refueller,41035.74575,hydrogen_transport,2050_high_demand,Run_2_1_
hydrogen_transport,35740.81081,hydrogen_storage_transport,2050_high_demand,Run_2_1_
hydrogen_storage_transport,31580.58043,hydrogen_transport,2050_high_demand,Run_2_1_
methane_reformation,3573382.327,hydrogen,2050_high_demand,Run_2_1_
national_grid_import,128713.8063,electricity_grid,2050_high_demand,Run_2_1_
nuclear_smr,96832628.77,electricity_primary,2050_high_demand,Run_2_1_
onshore_wind,8524987.96,electricity_primary,2050_high_demand,Run_2_1_
electricity,-10869.45658,primary_substation,2050_high_demand,Run_2_1_
electricity_primary,-115281715.6,primary_substation,2050_high_demand,Run_2_1_
primary_substation,115239200.8,electricity,2050_high_demand,Run_2_1_
primary_substation,53384.19616,electricity_primary,2050_high_demand,Run_2_1_
electricity,1281715.664,resistance_heating,2050_high_demand,Run_2_1_
resistance_heating,1281715.664,heat,2050_high_demand,Run_2_1_
rooftop_pv,619990.7995,electricity,2050_high_demand,Run_2_1_
van_mileage,5426294.378,van_demand,2050_high_demand,Run_2_1_
electricity,6417262.969,battery,2050_high_hydrogen,Run_2_1_
battery,5431571.377,electricity,2050_high_hydrogen,Run_2_1_
bus_mileage,558247.7431,bus_demand,2050_high_hydrogen,Run_2_1_
car_mileage,32120253.1,car_demand,2050_high_hydrogen,Run_2_1_
electricity,22536270.07,demand_elec,2050_high_hydrogen,Run_2_1_
heat,77072276.39,demand_heat,2050_high_hydrogen,Run_2_1_
hydrogen_heat,63966429.05,demand_hydrogen_heat,2050_high_hydrogen,Run_2_1_
hydrogen,3482191.781,demand_hydrogen_industrial,2050_high_hydrogen,Run_2_1_
electricity_grid,2268345.131,elec_lines_grid:Golden Hill,2050_high_hydrogen,Run_2_1_
elec_lines_grid:Golden Hill,151545.1307,electricity_grid,2050_high_hydrogen,Run_2_1_
electricity_grid,151545.1307,elec_lines_grid:Haverfordwest Power Stn,2050_high_hydrogen,Run_2_1_
elec_lines_grid:Haverfordwest Power Stn,1978753.969,electricity_grid,2050_high_hydrogen,Run_2_1_
electricity_grid,2130299.099,elec_lines_grid:Neyland,2050_high_hydrogen,Run_2_1_
elec_lines_grid:Neyland,2236139.099,electricity_grid,2050_high_hydrogen,Run_2_1_
elec_lines_grid:St Twynells,183751.1621,electricity_grid,2050_high_hydrogen,Run_2_1_
electricity_primary,572438.2499,elec_lines_primary:Brawdy,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Brawdy,184029.2795,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,93708.91342,elec_lines_primary:Bridell,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Bridell,13243609.75,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,17104286.42,elec_lines_primary:Broadfield,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Broadfield,12374524.99,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,10071858.89,elec_lines_primary:Fishguard,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Fishguard,6981610.214,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,10471233.27,elec_lines_primary:Golden Hill,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Golden Hill,4260009.35,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,7428661.033,elec_lines_primary:Haverfordwest Power Stn,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Haverfordwest Power Stn,25734061.49,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,71580.54913,elec_lines_primary:Llanfyrnach,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Llanfyrnach,6492320.327,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,4732940.67,elec_lines_primary:Merlins Bridge,2050_high_hydrogen,Run_2_1_
electricity_primary,1233075.853,elec_lines_primary:Milford Haven,2050_high_hydrogen,Run_2_1_
electricity_primary,12883452.53,elec_lines_primary:Nevern,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Nevern,10006549.31,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,496729.548,elec_lines_primary:Newcastle Emlyn South,2050_high_hydrogen,Run_2_1_
electricity_primary,5530708.409,elec_lines_primary:Neyland,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Neyland,2935407.753,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,6746049.207,elec_lines_primary:Penblewin,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Penblewin,1586488.21,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,7267374.486,elec_lines_primary:St Davids,2050_high_hydrogen,Run_2_1_
elec_lines_primary:St Davids,5426212.319,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,12402984.76,elec_lines_primary:St Florence,2050_high_hydrogen,Run_2_1_
elec_lines_primary:St Florence,10221397.17,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,117066.6111,elec_lines_primary:St Twynells,2050_high_hydrogen,Run_2_1_
elec_lines_primary:St Twynells,201263.5637,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,5960880.828,elec_lines_primary:Steynton,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Steynton,5631000.964,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,1722987.723,elec_lines_primary:Tenby,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Tenby,2183.952174,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_primary,6603615.029,elec_lines_primary:Whitland,2050_high_hydrogen,Run_2_1_
elec_lines_primary:Whitland,6230964.342,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity_transport,1213582.05,electric_bus,2050_high_hydrogen,Run_2_1_
electric_bus,558247.7431,bus_mileage,2050_high_hydrogen,Run_2_1_
electricity_transport,9177215.17,electric_car,2050_high_hydrogen,Run_2_1_
electric_car,32120253.1,car_mileage,2050_high_hydrogen,Run_2_1_
electricity_transport,2953625.384,electric_hgv,2050_high_hydrogen,Run_2_1_
electric_hgv,827015.1076,hgv_mileage,2050_high_hydrogen,Run_2_1_
electricity_transport,1664507.478,electric_van,2050_high_hydrogen,Run_2_1_
electric_van,5426294.378,van_mileage,2050_high_hydrogen,Run_2_1_
electricity,83740.31869,electrolyser,2050_high_hydrogen,Run_2_1_
electrolyser,64898.74698,hydrogen,2050_high_hydrogen,Run_2_1_
electricity,15008930.08,ev_chargers,2050_high_hydrogen,Run_2_1_
ev_chargers,15008930.08,electricity_transport,2050_high_hydrogen,Run_2_1_
electricity_grid,-2268345.131,grid_substation,2050_high_hydrogen,Run_2_1_
electricity_primary,-2084593.969,grid_substation,2050_high_hydrogen,Run_2_1_
grid_substation,2084593.969,electricity_grid,2050_high_hydrogen,Run_2_1_
grid_substation,2268345.131,electricity_primary,2050_high_hydrogen,Run_2_1_
ground_pv,32171601.42,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity,30298490.83,heat_pump,2050_high_hydrogen,Run_2_1_
heat_pump,75746227.09,heat,2050_high_hydrogen,Run_2_1_
hgv_mileage,863581.978,hgv_demand,2050_high_hydrogen,Run_2_1_
hydroelectricity,407860.8,electricity_primary,2050_high_hydrogen,Run_2_1_
hydrogen,76150510.78,hydrogen_boiler_to_heat1,2050_high_hydrogen,Run_2_1_
hydrogen_boiler_to_heat1,63966429.05,hydrogen_heat,2050_high_hydrogen,Run_2_1_
hydrogen_transport,107549.6189,hydrogen_hgv,2050_high_hydrogen,Run_2_1_
hydrogen_hgv,36566.87041,hgv_mileage,2050_high_hydrogen,Run_2_1_
hydrogen_import,2984758.787,hydrogen,2050_high_hydrogen,Run_2_1_
hydrogen,261179.7396,hydrogen_refueller,2050_high_hydrogen,Run_2_1_
hydrogen_refueller,117530.8828,hydrogen_transport,2050_high_hydrogen,Run_2_1_
hydrogen_transport,85749.69036,hydrogen_storage_transport,2050_high_hydrogen,Run_2_1_
hydrogen_storage_transport,75768.4264,hydrogen_transport,2050_high_hydrogen,Run_2_1_
methane_reformation,76844224.76,hydrogen,2050_high_hydrogen,Run_2_1_
national_grid_import,183751.1621,electricity_grid,2050_high_hydrogen,Run_2_1_
nuclear_smr,28330980.06,electricity_primary,2050_high_hydrogen,Run_2_1_
onshore_wind,8524987.96,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity,-1007522.598,primary_substation,2050_high_hydrogen,Run_2_1_
electricity_primary,-70641374.06,primary_substation,2050_high_hydrogen,Run_2_1_
primary_substation,70626704,electricity,2050_high_hydrogen,Run_2_1_
primary_substation,1022192.655,electricity_primary,2050_high_hydrogen,Run_2_1_
electricity,1326049.304,resistance_heating,2050_high_hydrogen,Run_2_1_
resistance_heating,1326049.304,heat,2050_high_hydrogen,Run_2_1_
rooftop_pv,619990.7995,electricity,2050_high_hydrogen,Run_2_1_
van_mileage,5426294.378,van_demand,2050_high_hydrogen,Run_2_1_
electricity,6556384.167,battery,2050_low_demand,Run_2_1_
battery,5549323.559,electricity,2050_low_demand,Run_2_1_
biomass,14954.98204,biomass_boiler_to_heat,2050_low_demand,Run_2_1_
biomass_boiler_to_heat,10468.48743,heat,2050_low_demand,Run_2_1_
biomass_import,14954.98204,biomass,2050_low_demand,Run_2_1_
bus_mileage,558247.7431,bus_demand,2050_low_demand,Run_2_1_
car_mileage,32120253.1,car_demand,2050_low_demand,Run_2_1_
electricity,33925848.25,demand_elec,2050_low_demand,Run_2_1_
heat,138475598.2,demand_heat,2050_low_demand,Run_2_1_
hydrogen,3482191.781,demand_hydrogen_industrial,2050_low_demand,Run_2_1_
electricity_grid,112383.0746,elec_lines_grid:Golden Hill,2050_low_demand,Run_2_1_
elec_lines_grid:Golden Hill,3552183.075,electricity_grid,2050_low_demand,Run_2_1_
electricity_grid,3869703.075,elec_lines_grid:Haverfordwest Power Stn,2050_low_demand,Run_2_1_
electricity_grid,3552183.075,elec_lines_grid:Neyland,2050_low_demand,Run_2_1_
elec_lines_grid:Neyland,3869703.075,electricity_grid,2050_low_demand,Run_2_1_
elec_lines_grid:St Twynells,112383.0746,electricity_grid,2050_low_demand,Run_2_1_
electricity_primary,1650377.478,elec_lines_primary:Brawdy,2050_low_demand,Run_2_1_
elec_lines_primary:Brawdy,362.6382024,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,5149266.359,elec_lines_primary:Bridell,2050_low_demand,Run_2_1_
elec_lines_primary:Bridell,392104.3758,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,40935563.72,elec_lines_primary:Broadfield,2050_low_demand,Run_2_1_
elec_lines_primary:Broadfield,33751205.79,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,11853960.47,elec_lines_primary:Fishguard,2050_low_demand,Run_2_1_
elec_lines_primary:Fishguard,5096695.553,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,28765886.79,elec_lines_primary:Golden Hill,2050_low_demand,Run_2_1_
elec_lines_primary:Golden Hill,6286687.912,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,75497564.76,elec_lines_primary:Haverfordwest Power Stn,2050_low_demand,Run_2_1_
elec_lines_primary:Haverfordwest Power Stn,74047783.36,electricity_primary,2050_low_demand,Run_2_1_
elec_lines_primary:Llanfyrnach,80229956.82,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,8598564.971,elec_lines_primary:Merlins Bridge,2050_low_demand,Run_2_1_
electricity_primary,2882917.713,elec_lines_primary:Milford Haven,2050_low_demand,Run_2_1_
electricity_primary,5096695.553,elec_lines_primary:Nevern,2050_low_demand,Run_2_1_
elec_lines_primary:Nevern,5138150.413,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,392104.3758,elec_lines_primary:Newcastle Emlyn South,2050_low_demand,Run_2_1_
elec_lines_primary:Newcastle Emlyn South,11115.94635,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,9507699.918,elec_lines_primary:Neyland,2050_low_demand,Run_2_1_
elec_lines_primary:Neyland,4494092.528,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,82302264.78,elec_lines_primary:Penblewin,2050_low_demand,Run_2_1_
elec_lines_primary:Penblewin,75493007.36,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,17865013.38,elec_lines_primary:St Davids,2050_low_demand,Run_2_1_
elec_lines_primary:St Davids,13504337.95,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,28548651.28,elec_lines_primary:St Florence,2050_low_demand,Run_2_1_
elec_lines_primary:St Florence,25387240.84,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,728420.7596,elec_lines_primary:St Twynells,2050_low_demand,Run_2_1_
elec_lines_primary:St Twynells,26188.02608,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,7790638.539,elec_lines_primary:Steynton,2050_low_demand,Run_2_1_
elec_lines_primary:Steynton,6888815.984,electricity_primary,2050_low_demand,Run_2_1_
electricity_primary,5254462.627,elec_lines_primary:Tenby,2050_low_demand,Run_2_1_
electricity_primary,80229956.82,elec_lines_primary:Whitland,2050_low_demand,Run_2_1_
elec_lines_primary:Whitland,82302264.78,electricity_primary,2050_low_demand,Run_2_1_
electricity_transport,1213582.05,electric_bus,2050_low_demand,Run_2_1_
electric_bus,558247.7431,bus_mileage,2050_low_demand,Run_2_1_
electricity_transport,9177215.17,electric_car,2050_low_demand,Run_2_1_
electric_car,32120253.1,car_mileage,2050_low_demand,Run_2_1_
electricity_transport,3039443.939,electric_hgv,2050_low_demand,Run_2_1_
electric_hgv,851044.3028,hgv_mileage,2050_low_demand,Run_2_1_
electricity_transport,1664507.478,electric_van,2050_low_demand,Run_2_1_
electric_van,5426294.378,van_mileage,2050_low_demand,Run_2_1_
electricity,15094748.64,ev_chargers,2050_low_demand,Run_2_1_
ev_chargers,15094748.64,electricity_transport,2050_low_demand,Run_2_1_
electricity_grid,-3869703.075,grid_substation,2050_low_demand,Run_2_1_
electricity_primary,-3757320,grid_substation,2050_low_demand,Run_2_1_
grid_substation,3757320,electricity_grid,2050_low_demand,Run_2_1_
grid_substation,3869703.075,electricity_primary,2050_low_demand,Run_2_1_
ground_pv,9334140.054,electricity_primary,2050_low_demand,Run_2_1_
electricity,54937669.31,heat_pump,2050_low_demand,Run_2_1_
heat_pump,137344173.3,heat,2050_low_demand,Run_2_1_
hgv_mileage,863581.978,hgv_demand,2050_low_demand,Run_2_1_
hydroelectricity,407860.8,electricity_primary,2050_low_demand,Run_2_1_
hydrogen,1.11E-09,hydrogen_boiler_to_heat,2050_low_demand,Run_2_1_
hydrogen_boiler_to_heat,9.31E-10,heat,2050_low_demand,Run_2_1_
hydrogen_transport,36875.51537,hydrogen_hgv,2050_low_demand,Run_2_1_
hydrogen_hgv,12537.67522,hgv_mileage,2050_low_demand,Run_2_1_
hydrogen,91190.5461,hydrogen_refueller,2050_low_demand,Run_2_1_
hydrogen_refueller,41035.74575,hydrogen_transport,2050_low_demand,Run_2_1_
hydrogen_transport,35740.81081,hydrogen_storage_transport,2050_low_demand,Run_2_1_
hydrogen_storage_transport,31580.58043,hydrogen_transport,2050_low_demand,Run_2_1_
methane_reformation,3573382.327,hydrogen,2050_low_demand,Run_2_1_
national_grid_import,112383.0746,electricity_grid,2050_low_demand,Run_2_1_
nuclear_smr,87086920.57,electricity_primary,2050_low_demand,Run_2_1_
onshore_wind,8524987.96,electricity_primary,2050_low_demand,Run_2_1_
electricity,-27647.68815,primary_substation,2050_low_demand,Run_2_1_
electricity_primary,-105552286.3,primary_substation,2050_low_demand,Run_2_1_
primary_substation,105493940.1,electricity,2050_low_demand,Run_2_1_
primary_substation,85993.8003,electricity_primary,2050_low_demand,Run_2_1_
electricity,1120956.454,resistance_heating,2050_low_demand,Run_2_1_
resistance_heating,1120956.454,heat,2050_low_demand,Run_2_1_
rooftop_pv,619990.7995,electricity,2050_low_demand,Run_2_1_
van_mileage,5426294.378,van_demand,2050_low_demand,Run_2_1_
anaerobic_digestion,1053545.702,electricity_primary,baseline,Run_2_1_
electricity,8156327.45,battery,baseline,Run_2_1_
battery,6903515.553,electricity,baseline,Run_2_1_
biomass,22478.21855,biomass_boiler_to_heat,baseline,Run_2_1_
biomass_boiler_to_heat,15734.75298,heat,baseline,Run_2_1_
biomass_import,22478.21855,biomass,baseline,Run_2_1_
bus_mileage,5582477.382,bus_demand,baseline,Run_2_1_
car_mileage,27689873.36,car_demand,baseline,Run_2_1_
electricity,22536270.07,demand_elec,baseline,Run_2_1_
heat,141038705.4,demand_heat,baseline,Run_2_1_
hydrogen,3482191.781,demand_hydrogen_industrial,baseline,Run_2_1_
electricity_grid,8308440,elec_lines_grid:Golden Hill,baseline,Run_2_1_
elec_lines_grid:Haverfordwest Power Stn,8043840,electricity_grid,baseline,Run_2_1_
electricity_grid,8043840,elec_lines_grid:Neyland,baseline,Run_2_1_
elec_lines_grid:Neyland,8308440,electricity_grid,baseline,Run_2_1_
electricity_primary,5827669.339,elec_lines_primary:Brawdy,baseline,Run_2_1_
electricity_primary,3993032.388,elec_lines_primary:Bridell,baseline,Run_2_1_
elec_lines_primary:Bridell,15652415.95,electricity_primary,baseline,Run_2_1_
electricity_primary,17712946.45,elec_lines_primary:Broadfield,baseline,Run_2_1_
elec_lines_primary:Broadfield,9258159.58,electricity_primary,baseline,Run_2_1_
electricity_primary,12870721.63,elec_lines_primary:Fishguard,baseline,Run_2_1_
elec_lines_primary:Fishguard,4048297.21,electricity_primary,baseline,Run_2_1_
electricity_primary,22248584.18,elec_lines_primary:Golden Hill,baseline,Run_2_1_
elec_lines_primary:Golden Hill,16654468.37,electricity_primary,baseline,Run_2_1_
electricity_primary,40373609.08,elec_lines_primary:Haverfordwest Power Stn,baseline,Run_2_1_
elec_lines_primary:Haverfordwest Power Stn,49782075.98,electricity_primary,baseline,Run_2_1_
elec_lines_primary:Llanfyrnach,45564424.43,electricity_primary,baseline,Run_2_1_
electricity_primary,7911075.794,elec_lines_primary:Merlins Bridge,baseline,Run_2_1_
electricity_primary,3670344.554,elec_lines_primary:Milford Haven,baseline,Run_2_1_
electricity_primary,16001976.03,elec_lines_primary:Nevern,baseline,Run_2_1_
elec_lines_primary:Nevern,12266015.08,electricity_primary,baseline,Run_2_1_
electricity_primary,44574.65767,elec_lines_primary:Newcastle Emlyn South,baseline,Run_2_1_
elec_lines_primary:Newcastle Emlyn South,3793175.78,electricity_primary,baseline,Run_2_1_
electricity_primary,25832921.77,elec_lines_primary:Neyland,baseline,Run_2_1_
elec_lines_primary:Neyland,20821461.95,electricity_primary,baseline,Run_2_1_
electricity_primary,45158517.33,elec_lines_primary:Penblewin,baseline,Run_2_1_
elec_lines_primary:Penblewin,39025534.57,electricity_primary,baseline,Run_2_1_
electricity_primary,9357877.726,elec_lines_primary:St Davids,baseline,Run_2_1_
elec_lines_primary:St Davids,6650179.036,electricity_primary,baseline,Run_2_1_
electricity_primary,16624698.51,elec_lines_primary:St Florence,baseline,Run_2_1_
elec_lines_primary:St Florence,13234368.52,electricity_primary,baseline,Run_2_1_
electricity_primary,1203339.462,elec_lines_primary:St Twynells,baseline,Run_2_1_
elec_lines_primary:St Twynells,5859.429764,electricity_primary,baseline,Run_2_1_
electricity_primary,30267444.2,elec_lines_primary:Steynton,baseline,Run_2_1_
elec_lines_primary:Steynton,27202605.9,electricity_primary,baseline,Run_2_1_
electricity_primary,4453801.583,elec_lines_primary:Tenby,baseline,Run_2_1_
electricity_primary,45564424.43,elec_lines_primary:Whitland,baseline,Run_2_1_
elec_lines_primary:Whitland,45158517.33,electricity_primary,baseline,Run_2_1_
electricity_transport,12135820.39,electric_bus,baseline,Run_2_1_
electric_bus,5582477.382,bus_mileage,baseline,Run_2_1_
electricity_transport,7911392.388,electric_car,baseline,Run_2_1_
electric_car,27689873.36,car_mileage,baseline,Run_2_1_
electricity_transport,2820398.644,electric_hgv,baseline,Run_2_1_
electric_hgv,789711.6203,hgv_mileage,baseline,Run_2_1_
electricity_transport,1234911.537,electric_van,baseline,Run_2_1_
electric_van,4025811.61,van_mileage,baseline,Run_2_1_
electricity,5394150.745,electrolyser,baseline,Run_2_1_
electrolyser,3506197.985,hydrogen,baseline,Run_2_1_
electricity,24102522.96,ev_chargers,baseline,Run_2_1_
ev_chargers,24102522.96,electricity_transport,baseline,Run_2_1_
electricity_grid,-8308440,grid_substation,baseline,Run_2_1_
electricity_primary,-8308440,grid_substation,baseline,Run_2_1_
grid_substation,8308440,electricity_grid,baseline,Run_2_1_
grid_substation,8308440,electricity_primary,baseline,Run_2_1_
ground_pv,28896744.97,electricity_primary,baseline,Run_2_1_
electricity,55506139.55,heat_pump,baseline,Run_2_1_
heat_pump,138765348.9,heat,baseline,Run_2_1_
hgv_mileage,793004.5712,hgv_demand,baseline,Run_2_1_
hydroelectricity,407860.8,electricity_primary,baseline,Run_2_1_
hydrogen_transport,9685.149644,hydrogen_hgv,baseline,Run_2_1_
hydrogen_hgv,3292.950879,hgv_mileage,baseline,Run_2_1_
hydrogen,24006.20374,hydrogen_refueller,baseline,Run_2_1_
hydrogen_refueller,10802.79168,hydrogen_transport,baseline,Run_2_1_
hydrogen_transport,9601.73574,hydrogen_storage_transport,baseline,Run_2_1_
hydrogen_storage_transport,8484.0937,hydrogen_transport,baseline,Run_2_1_
nuclear_smr,71546386.8,electricity_primary,baseline,Run_2_1_
onshore_wind,8524987.96,electricity_primary,baseline,Run_2_1_
electricity,-6174.912103,primary_substation,baseline,Run_2_1_
electricity_primary,-110542557.9,primary_substation,baseline,Run_2_1_
primary_substation,110435701.1,electricity,baseline,Run_2_1_
primary_substation,113031.6378,electricity_primary,baseline,Run_2_1_
electricity,2257621.806,resistance_heating,baseline,Run_2_1_
resistance_heating,2257621.806,heat,baseline,Run_2_1_
rooftop_pv,619990.7995,electricity,baseline,Run_2_1_
van_mileage,4025811.61,van_demand,baseline,Run_2_1_
anaerobic_digestion,247377.2604,electricity_primary,Islanded_2050_high_demand,Run_2_1_
electricity,8667475.409,battery,Islanded_2050_high_demand,Run_2_1_
battery,7336151.187,electricity,Islanded_2050_high_demand,Run_2_1_
bus_mileage,558247.7431,bus_demand,Islanded_2050_high_demand,Run_2_1_
car_mileage,32120253.1,car_demand,Islanded_2050_high_demand,Run_2_1_
